voter,position,book,author,top100
"Mohamed, Nadifa",4,The Translator,"Aboulela, Leila",FALSE
"Obioma, Chigozie",3,Arrow of God,"Achebe, Chinua",FALSE
"Roberts, Adam",3,Things Fall Apart,"Achebe, Chinua",TRUE
"Mabanckou, Alain",1,Things Fall Apart,"Achebe, Chinua",TRUE
"Markovits, Ben",5,Things Fall Apart,"Achebe, Chinua",TRUE
"Armitstead, Claire",6,Things Fall Apart,"Achebe, Chinua",TRUE
"Messud, Claire",4,Things Fall Apart,"Achebe, Chinua",TRUE
"Owusu, Derek",5,Things Fall Apart,"Achebe, Chinua",TRUE
"Evans, Diana",4,Things Fall Apart,"Achebe, Chinua",TRUE
"Loffhagen, Emma",3,Things Fall Apart,"Achebe, Chinua",TRUE
"Maarouf, Mazen",6,Things Fall Apart,"Achebe, Chinua",TRUE
"Donkor, Michael",8,Things Fall Apart,"Achebe, Chinua",TRUE
"Walter, Natasha",5,Things Fall Apart,"Achebe, Chinua",TRUE
"Waters, Sarah",10,Things Fall Apart,"Achebe, Chinua",TRUE
"Rustin, Susanna",4,Things Fall Apart,"Achebe, Chinua",TRUE
"Anam, Tahmima",4,Things Fall Apart,"Achebe, Chinua",TRUE
"Silcox, Beejay",6,The Hitch Hiker's Guide to the Galaxy,"Adams, Douglas",FALSE
"Haig, Matt",8,The Hitch Hiker's Guide to the Galaxy,"Adams, Douglas",FALSE
"Johnson, Daisy",8,Watership Down,"Adams, Richard",FALSE
"Day, Elizabeth",9,Americanah,"Adichie, Chimamanda Ngozi",FALSE
"Knight, Lucy",4,Americanah,"Adichie, Chimamanda Ngozi",FALSE
"Northedge, Charlotte",9,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",TRUE
"Evans, Diana",9,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",TRUE
"Loffhagen, Emma",2,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",TRUE
"Viner, Katharine",9,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",TRUE
"Dawoor, Yagnishsing",6,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",TRUE
"Edwards, Jack",10,Martyr!,"Akbar, Kaveh",FALSE
"Thayil, Jeet",2,The Divine Comedy,"Alighieri, Dante",FALSE
"Evans, Diana",2,The House of the Spirits,"Allende, Isabel",FALSE
"Creamer, Ella",7,In the Time of the Butterflies,"Alvarez, Julia",FALSE
"Boyne, John",8,Lucky Jim,"Amis, Kingsley",FALSE
"Rankin, Ian",8,Money,"Amis, Martin",FALSE
"Power, Kevin",4,Money,"Amis, Martin",FALSE
"Stibbe, Nina",7,Money,"Amis, Martin",FALSE
"Harrison, Melissa",10,The Information,"Amis, Martin",FALSE
"Sampson, Fiona",2,The Bridge on the Drina,"Andrić, Ivo",FALSE
"Rashid, Tanjll",7,One Thousand and One Nights,Anonymous,FALSE
"Maarouf, Mazen",5,One Thousand and One Nights,Anonymous,FALSE
"Thayil, Jeet",1,Rig Veda,Anonymous,FALSE
"Rankin, Ian",10,Life After Life,"Atkinson, Kate",FALSE
"Osman, Richard",5,Life After Life,"Atkinson, Kate",FALSE
"Enright, Anne",6,The Handmaid's Tale,"Atwood, Margaret",TRUE
"Akbar, Arifa",10,The Handmaid's Tale,"Atwood, Margaret",TRUE
"Silcox, Beejay",4,The Handmaid's Tale,"Atwood, Margaret",TRUE
"Northedge, Charlotte",7,The Handmaid's Tale,"Atwood, Margaret",TRUE
"Sturges, Fiona",10,The Handmaid's Tale,"Atwood, Margaret",TRUE
"Allardice, Lisa",4,The Handmaid's Tale,"Atwood, Margaret",TRUE
"Tuttle, Lisa",1,The Handmaid's Tale,"Atwood, Margaret",TRUE
"Collins, Sara",2,The Handmaid's Tale,"Atwood, Margaret",TRUE
"Cain, Sian",5,The Handmaid's Tale,"Atwood, Margaret",TRUE
"O’Farrell, Maggie",6,The Patrick Melrose Novels,"Aubyn, Edward St",FALSE
"Edemariam, Aida",4,Emma,"Austen, Jane",TRUE
"Smith, Ali",9,Emma,"Austen, Jane",TRUE
"Morrison, Blake",8,Emma,"Austen, Jane",TRUE
"Higgins, Charlotte",5,Emma,"Austen, Jane",TRUE
"Armitstead, Claire",2,Emma,"Austen, Jane",TRUE
"Clark, Clare",5,Emma,"Austen, Jane",TRUE
"Loffhagen, Emma",6,Emma,"Austen, Jane",TRUE
"Patterson, Ian",3,Emma,"Austen, Jane",TRUE
"Edwards, Jack",2,Emma,"Austen, Jane",TRUE
"Mullan, John",1,Emma,"Austen, Jane",TRUE
"Rundell, Katherine",1,Emma,"Austen, Jane",TRUE
"Wilson, Laura",2,Emma,"Austen, Jane",TRUE
"Spencer, Liese",1,Emma,"Austen, Jane",TRUE
"Moore, Lorrie",9,Emma,"Austen, Jane",TRUE
"Dolan, Naoise",4,Emma,"Austen, Jane",TRUE
"Churchwell, Sarah",7,Emma,"Austen, Jane",TRUE
"Rustin, Susanna",2,Emma,"Austen, Jane",TRUE
"Boyd, William",3,Emma,"Austen, Jane",TRUE
"Needham, Alex",6,Mansfield Park,"Austen, Jane",TRUE
"Markovits, Ben",2,Mansfield Park,"Austen, Jane",TRUE
"Meek, James",9,Mansfield Park,"Austen, Jane",TRUE
"Cook, Jude",1,Mansfield Park,"Austen, Jane",TRUE
"Crewe, Tom",6,Mansfield Park,"Austen, Jane",TRUE
"Craig, Amanda",4,Persuasion,"Austen, Jane",TRUE
"Northedge, Charlotte",2,Persuasion,"Austen, Jane",TRUE
"Nicholls, David",1,Persuasion,"Austen, Jane",TRUE
"Birch, Dinah",2,Persuasion,"Austen, Jane",TRUE
"Johnston, Freya",4,Persuasion,"Austen, Jane",TRUE
"Calder, Jem",6,Persuasion,"Austen, Jane",TRUE
"Jordan, Justine",3,Persuasion,"Austen, Jane",TRUE
"King, Lily",5,Persuasion,"Austen, Jane",TRUE
"Allardice, Lisa",10,Persuasion,"Austen, Jane",TRUE
"Tuttle, Lisa",5,Persuasion,"Austen, Jane",TRUE
"Laing, Olivia",4,Persuasion,"Austen, Jane",TRUE
"Ellis, Samantha",7,Persuasion,"Austen, Jane",TRUE
"Moss, Sarah",10,Persuasion,"Austen, Jane",TRUE
"Bari, Shahidha",7,Persuasion,"Austen, Jane",TRUE
"Anam, Tahmima",5,Persuasion,"Austen, Jane",TRUE
"Hadley, Tessa",5,Persuasion,"Austen, Jane",TRUE
"Li, Yiyun",2,Persuasion,"Austen, Jane",TRUE
"Soueif, Ahdaf",7,Pride and Prejudice,"Austen, Jane",TRUE
"Okri, Ben",4,Pride and Prejudice,"Austen, Jane",TRUE
"Day, Elizabeth",2,Pride and Prejudice,"Austen, Jane",TRUE
"Edugyan, Esi",1,Pride and Prejudice,"Austen, Jane",TRUE
"McEwan, Ian",6,Pride and Prejudice,"Austen, Jane",TRUE
"Egan, Jennifer",2,Pride and Prejudice,"Austen, Jane",TRUE
"Mullan, John",10,Pride and Prejudice,"Austen, Jane",TRUE
"Hughes, Kathryn",4,Pride and Prejudice,"Austen, Jane",TRUE
"King, Lily",6,Pride and Prejudice,"Austen, Jane",TRUE
"Knight, Lucy",8,Pride and Prejudice,"Austen, Jane",TRUE
"Theroux, Marcel",4,Pride and Prejudice,"Austen, Jane",TRUE
"Rosoff, Meg",8,Pride and Prejudice,"Austen, Jane",TRUE
"Chabon, Michael",4,Pride and Prejudice,"Austen, Jane",TRUE
"Saniee, Parinoush",6,Pride and Prejudice,"Austen, Jane",TRUE
"Collins, Sara",3,Pride and Prejudice,"Austen, Jane",TRUE
"Churchwell, Sarah",4,Pride and Prejudice,"Austen, Jane",TRUE
"Hustvedt, Siri",6,Pride and Prejudice,"Austen, Jane",TRUE
"Poole, Steven",5,Pride and Prejudice,"Austen, Jane",TRUE
"van der Wouden, Yael",1,Pride and Prejudice,"Austen, Jane",TRUE
